College,Major,FresM,FresF,SophM,SophF,JuniM,JuniF,SeniM,SeniF,Non-Degree (M),Non-Degree (F),Total (Both),Semester
Liberal Arts and Sciences,Liberal Arts and Sciences Certificate (Non-Degree),0,0,0,0,0,0,0,0,0,1,1,f22
Liberal Arts and Sciences,Liberal Arts and Sciences- Open Option,1,1,0,0,0,0,0,1,0,0,3,f22
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,42,62,104,f22
Liberal Arts and Sciences,Liberal Studies,0,0,6,3,20,17,52,23,0,0,121,f22
Liberal Arts and Sciences,Linguistics,2,6,3,13,0,15,6,22,0,0,67,f22
Liberal Arts and Sciences,Mathematics,10,12,11,10,10,13,33,24,0,0,123,f22
Liberal Arts and Sciences,Meteorology,14,11,14,8,17,5,13,7,0,0,89,f22
Liberal Arts and Sciences,Music,24,12,10,10,9,12,16,14,0,0,107,f22
Liberal Arts and Sciences,Open Option (LAS),152,192,42,55,8,7,7,2,0,0,465,f22
Liberal Arts and Sciences,Performing Arts,6,7,3,5,7,8,7,7,0,0,50,f22
Liberal Arts and Sciences,Philosophy,0,0,1,0,1,2,5,4,0,0,13,f22
Liberal Arts and Sciences,Physics,14,10,12,4,16,2,17,7,0,0,82,f22
Liberal Arts and Sciences,Political Science,20,18,28,21,33,20,37,21,0,0,198,f22
Liberal Arts and Sciences,Pre-Biological/Pre-Medical Illustration,2,7,2,8,3,8,0,4,0,0,34,f22
Liberal Arts and Sciences,Pre-Liberal Studies,0,0,0,1,3,4,0,2,0,0,10,f22
Liberal Arts and Sciences,Preparation For Human Medicine,4,12,3,9,0,2,0,0,0,0,30,f22
Liberal Arts and Sciences,Preparation For Law,1,3,1,0,0,0,0,0,0,0,5,f22
Liberal Arts and Sciences,Preprofessional Health Programs,1,5,1,2,0,0,0,0,0,0,9,f22
Liberal Arts and Sciences,Psychology,40,124,33,141,46,128,58,204,0,0,774,f22
Liberal Arts and Sciences,Public Relations,3,8,7,25,10,36,12,36,0,0,137,f22
Liberal Arts and Sciences,Religious Studies,0,0,0,1,4,1,1,1,0,0,8,f22
Liberal Arts and Sciences,Sociology,1,3,4,7,6,10,9,13,0,0,53,f22
Liberal Arts and Sciences,Spanish,0,0,1,0,0,0,0,0,0,0,1,f22
Liberal Arts and Sciences,Speech Communication,0,1,0,3,0,3,3,0,0,0,10,f22
Liberal Arts and Sciences,Statistics,5,7,8,7,20,7,25,8,0,0,87,f22
Liberal Arts and Sciences,Technical Communication,3,2,2,1,3,6,3,4,0,0,24,f22
Liberal Arts and Sciences,Women's and Gender Studies,0,2,0,3,1,6,0,10,0,0,22,f22
Liberal Arts and Sciences,World Languages and Cultures,1,2,1,3,1,10,6,8,0,0,0,f22
