College,Major,FresM,FresF,SophM,SophF,JuniM,JuniF,SeniM,SeniF,Non-Degree (M),Non-Degree (F),Total (Both),Semester
Agriculture and Life Sciences,Public Service and Administration in Agriculture,0,0,0,0,2,6,2,3,0,0,13,f15
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,5,11,16,f15
Business,Accounting,0,1,27,19,64,63,123,108,0,0,405,f15
Business,Business Economics,0,0,1,3,2,0,10,2,0,0,18,f15
Business,Business Undeclared,0,0,4,5,10,5,3,0,0,0,27,f15
Business,Finance,1,1,37,20,116,40,165,68,0,0,448,f15
Business,Management,1,0,10,3,32,29,80,55,0,0,210,f15
Business,Management Information Systems,0,1,11,6,57,10,147,24,0,0,256,f15
Business,Marketing,0,0,17,25,71,85,123,124,0,0,445,f15
Business,Pre-Business,573,283,500,214,269,132,45,12,0,0,2028,f15
Business,Supply Chain Management,5,0,27,10,65,23,125,53,0,0,308,f15
Design,Design Certificate (Non-Degree),0,0,0,0,0,0,0,0,0,1,1,f15
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,4,2,6,f15
Design,Architecture-Professional Degree,0,0,36,30,43,31,95,73,0,0,308,f15
Design,Art and Design (Bachelor of Arts),0,0,3,5,1,2,2,3,0,0,16,f15
Design,Community and Regional Planning,3,1,9,3,16,11,18,6,0,0,67,f15
Design,Design,2,6,7,6,15,16,20,14,0,0,86,f15
Design,Design Undeclared,12,42,5,8,3,2,0,1,0,0,73,f15
Design,Graphic Design,0,0,17,54,16,47,26,63,0,0,223,f15
Design,Industrial Design,3,1,32,14,45,13,41,16,0,0,165,f15
Design,Integrated Studio Arts,1,0,6,18,7,20,12,25,0,0,89,f15
Design,Interior Design,0,1,15,41,8,44,3,64,0,0,176,f15
Design,Landscape Architecture,0,0,16,12,12,17,37,35,0,0,129,f15
Design,Pre-Architecture,98,67,15,8,5,4,0,0,0,0,197,f15
Design,Pre-Community and Regional Planning,2,6,1,1,0,0,0,0,0,0,10,f15
Design,Pre-Graphic Design,17,51,6,20,3,3,1,0,0,0,101,f15
Design,Pre-Industrial Design,35,8,10,1,2,0,0,0,0,0,56,f15
Design,Pre-Integrated Studio Arts,1,6,0,1,0,1,0,0,0,0,9,f15
Design,Pre-Interior Design,4,26,2,7,1,2,0,0,0,0,42,f15
Design,Pre-Landscape Architecture,6,7,3,0,0,1,0,0,0,0,17,f15
Engineering,Engineering Specials (Non-Degree),0,0,0,0,0,0,0,0,33,7,40,f15
Engineering,Aerospace Engineering,208,17,158,17,125,17,225,33,0,0,800,f15
Engineering,Agricultural Engineering,60,11,38,11,36,2,52,11,0,0,221,f15
Engineering,Biological Systems Engineering,16,16,7,7,9,11,14,17,0,0,97,f15
Engineering,Chemical Engineering,137,60,110,52,127,49,206,83,0,0,824,f15
Engineering,Civil Engineering,117,29,123,25,126,39,224,51,0,0,734,f15
Engineering,Computer Engineering,202,14,139,15,146,8,182,19,0,0,725,f15
Engineering,Construction Engineering,35,8,69,7,65,11,86,16,0,0,297,f15
Engineering,Electrical Engineering,133,15,107,9,128,15,185,22,0,0,614,f15
Engineering,Engineering,365,101,54,10,8,2,3,0,0,0,543,f15
Engineering,Industrial Engineering,63,24,90,35,80,39,134,49,0,0,514,f15
Engineering,Materials Engineering,34,7,45,16,51,14,84,15,0,0,266,f15
Engineering,Mechanical Engineering,441,43,420,39,398,44,596,66,0,0,2047,f15
Engineering,Software Engineering,42,3,62,9,45,6,54,6,0,0,227,f15
Human Sciences,Human Sciences Special (Non-Degree),0,0,0,0,0,0,0,0,8,22,30,f15
Human Sciences,"Apparel, Merchandising, and Design",5,107,11,103,5,125,3,125,0,0,484,f15
Human Sciences,Athletic Training,1,0,11,6,9,12,16,12,0,0,67,f15
Human Sciences,Child & Family Services,3,27,4,75,9,109,8,147,0,0,382,f15
Human Sciences,Culinary Science - Human Sciences,3,3,1,6,5,6,2,12,0,0,38,f15
Human Sciences,Dietetics (H SCI),0,0,0,0,4,34,11,88,0,0,137,f15
Human Sciences,Early Childhood Education,0,27,1,30,1,30,0,50,0,0,139,f15
Human Sciences,Elementary Education,10,112,20,160,23,186,28,230,0,0,769,f15
Human Sciences,Event Management,0,60,8,81,5,89,7,111,0,0,361,f15
Human Sciences,Family and Consumer Science Education and Studies,0,9,1,20,1,20,2,46,0,0,99,f15
Human Sciences,Financial Counseling and Planning,1,0,0,5,5,3,1,15,0,0,30,f15
Human Sciences,Food Science (H SCI),4,4,4,7,4,10,5,13,0,0,51,f15
Human Sciences,Hospitality Management,14,11,10,25,11,31,20,28,0,0,150,f15
Human Sciences,Human Sciences,2,30,3,4,0,2,0,0,0,0,41,f15
Human Sciences,Kinesiology and Health,98,111,98,149,146,187,194,225,0,0,1208,f15
Human Sciences,Nutritional Science (H SCI),2,5,2,13,4,30,4,26,0,0,86,f15
Human Sciences,Pre-Athletic Training,20,38,3,6,3,4,0,0,0,0,74,f15
Human Sciences,Pre-Diet and Exercise (H SCI),2,8,0,7,0,7,1,7,0,0,32,f15
Human Sciences,Pre-Dietetics (H SCI),3,28,4,29,4,23,4,6,0,0,101,f15
Human Sciences,Pre-Early Childcare Education and Programming,0,0,0,0,0,3,0,8,0,0,11,f15
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,0,0,0,0,0,0,0,0,39,27,66,f15
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,133,111,244,f15
Liberal Arts and Sciences,Advertising,11,12,16,34,40,29,33,49,0,0,224,f15
Liberal Arts and Sciences,Anthropology,3,6,4,6,5,7,5,14,0,0,50,f15
Liberal Arts and Sciences,Biochemistry,21,16,12,8,29,18,18,22,0,0,144,f15
Liberal Arts and Sciences,Bioinformatics and Computational Biology,0,3,3,3,3,3,2,1,0,0,18,f15
Liberal Arts and Sciences,Biological/Pre-Medical Illustration,0,0,0,0,0,4,3,11,0,0,18,f15
Liberal Arts and Sciences,Biology,31,62,38,56,39,54,61,75,0,0,416,f15
Liberal Arts and Sciences,Biophysics,0,1,1,1,1,1,2,2,0,0,9,f15
Liberal Arts and Sciences,Chemistry,23,16,7,11,23,20,27,26,0,0,153,f15
Liberal Arts and Sciences,Communication Studies,3,16,8,30,19,44,37,55,0,0,212,f15
Liberal Arts and Sciences,Computer Science,8,0,58,3,63,6,106,13,0,0,257,f15
Liberal Arts and Sciences,Earth Science,0,2,0,1,3,1,4,1,0,0,12,f15
Liberal Arts and Sciences,Economics,9,2,21,5,17,6,21,10,0,0,91,f15
Liberal Arts and Sciences,English,9,24,17,27,16,52,36,69,0,0,250,f15
Liberal Arts and Sciences,Environmental Science (LAS),12,8,4,4,10,8,12,9,0,0,67,f15
Liberal Arts and Sciences,Genetics (LAS),4,17,10,12,12,15,17,23,0,0,110,f15
Liberal Arts and Sciences,Geology,6,5,7,8,14,5,11,3,0,0,59,f15
Liberal Arts and Sciences,History,18,10,42,17,40,21,71,28,0,0,247,f15
Liberal Arts and Sciences,Interdisciplinary Studies,43,34,57,35,77,43,60,29,0,0,378,f15
Liberal Arts and Sciences,Journalism and Mass Communication,14,57,31,42,47,45,31,53,0,0,320,f15
Liberal Arts and Sciences,Liberal Arts and Sciences- Open Option,1,0,0,1,0,1,0,0,0,0,3,f15
Liberal Arts and Sciences,Liberal Studies,0,0,0,1,18,19,35,38,0,0,111,f15
Liberal Arts and Sciences,Linguistics,1,3,6,10,5,17,6,18,0,0,66,f15
Liberal Arts and Sciences,Mathematics,21,20,22,14,37,18,32,34,0,0,198,f15
Liberal Arts and Sciences,Meteorology,18,9,12,11,12,7,19,5,0,0,93,f15
Liberal Arts and Sciences,Music,9,5,15,15,5,12,24,22,0,0,107,f15
Liberal Arts and Sciences,Open Option (LAS),325,343,88,99,24,20,2,6,0,0,907,f15
Liberal Arts and Sciences,Performing Arts,0,5,0,6,6,7,12,12,0,0,48,f15
Liberal Arts and Sciences,Philosophy,2,1,5,0,9,4,9,2,0,0,32,f15
Liberal Arts and Sciences,Physics,21,5,16,5,19,3,24,3,0,0,96,f15
Liberal Arts and Sciences,Political Science,15,15,34,20,42,24,42,19,0,0,211,f15
Liberal Arts and Sciences,Pre-Biological/Pre-Medical Illustration,4,11,2,17,2,7,3,8,0,0,54,f15
Liberal Arts and Sciences,Pre-Computer Science,146,16,82,10,40,5,15,4,0,0,318,f15
Liberal Arts and Sciences,Pre-Liberal Studies,6,2,8,3,14,5,14,4,0,0,56,f15
Liberal Arts and Sciences,Preparation For Human Medicine,17,40,10,7,1,0,1,1,0,0,77,f15
Liberal Arts and Sciences,Preparation For Law,5,8,1,1,0,0,0,0,0,0,15,f15
Liberal Arts and Sciences,Preprofessional Health Programs,10,26,3,5,1,0,1,1,0,0,47,f15
Liberal Arts and Sciences,Psychology,28,111,36,106,58,142,65,166,0,0,712,f15
Liberal Arts and Sciences,Public Relations,4,20,11,56,17,69,7,48,0,0,232,f15
Liberal Arts and Sciences,Religious Studies,1,0,1,3,2,2,3,1,0,0,13,f15
Liberal Arts and Sciences,Sociology,1,7,5,7,15,11,11,16,0,0,73,f15
Liberal Arts and Sciences,Software Engineering,70,9,48,5,44,0,43,4,0,0,223,f15
Liberal Arts and Sciences,Speech Communication,0,4,3,4,3,2,1,6,0,0,23,f15
Liberal Arts and Sciences,Statistics,11,13,4,2,11,10,10,19,0,0,80,f15
Liberal Arts and Sciences,Technical Communication,0,0,2,1,9,4,3,6,0,0,25,f15
Liberal Arts and Sciences,Women's Studies,0,1,0,1,1,5,1,4,0,0,13,f15
Liberal Arts and Sciences,World Languages and Cultures,1,7,6,3,7,10,10,29,0,0,73,f15
Agriculture and Life Sciences,Agriculture Specials,0,0,0,0,0,0,0,0,50,59,109,s16
Agriculture and Life Sciences,Agricultural and Life Sciences Education,0,21,7,26,8,31,12,46,0,0,151,s16
Agriculture and Life Sciences,Agricultural Biochemistry,3,1,5,1,3,0,6,4,0,0,23,s16
Agriculture and Life Sciences,Agricultural Business,43,18,89,38,100,42,107,56,0,0,493,s16
Agriculture and Life Sciences,Agricultural Studies,20,6,57,10,113,32,115,30,0,0,383,s16
Agriculture and Life Sciences,Agricultural Systems Technology,15,2,39,3,60,0,81,6,0,0,206,s16
Agriculture and Life Sciences,Agriculture and Life Sciences Exploration,12,9,7,3,1,2,0,1,0,0,35,s16
Agriculture and Life Sciences,Agriculture and Society,0,2,2,6,1,5,1,6,0,0,23,s16
Agriculture and Life Sciences,Agronomy,11,13,45,15,49,39,88,39,0,0,299,s16
Agriculture and Life Sciences,Animal Ecology,20,36,27,39,35,68,44,78,0,0,347,s16
Agriculture and Life Sciences,Animal Science,31,117,51,167,59,200,69,245,0,0,939,s16
Agriculture and Life Sciences,Biology (AGLS),7,22,17,47,23,59,40,70,0,0,285,s16
Agriculture and Life Sciences,Culinary Science - Agriculture,0,2,3,1,0,2,1,4,0,0,13,s16
Agriculture and Life Sciences,Dairy Science,0,1,1,5,3,9,8,15,0,0,42,s16
Agriculture and Life Sciences,Dietetics (AGLS),0,0,0,0,1,2,0,10,0,0,13,s16
Agriculture and Life Sciences,Environmental Science (AGLS),6,5,6,6,11,11,32,20,0,0,97,s16
Agriculture and Life Sciences,Food Science (AGLS),5,7,6,15,8,10,6,16,0,0,73,s16
Agriculture and Life Sciences,Forestry,6,1,10,1,17,9,37,6,0,0,87,s16
Agriculture and Life Sciences,General Preveterinary Medicine,3,13,0,2,0,3,1,0,0,0,22,s16
Agriculture and Life Sciences,Genetics (AGLS),4,8,3,11,4,14,11,20,0,0,75,s16
Agriculture and Life Sciences,Global Resource Systems,1,2,3,16,4,9,14,25,0,0,74,s16
Agriculture and Life Sciences,Horticulture,7,4,13,12,20,12,22,16,0,0,106,s16
Agriculture and Life Sciences,Industrial Technology,15,1,59,4,78,2,104,6,0,0,269,s16
Agriculture and Life Sciences,Insect Science,0,0,0,0,0,0,0,2,0,0,2,s16
Agriculture and Life Sciences,Microbiology,7,7,11,13,8,23,18,34,0,0,121,s16
Agriculture and Life Sciences,Nutritional Science (AGLS),0,4,1,0,1,3,1,7,0,0,17,s16
Agriculture and Life Sciences,Pre-Diet and Exercise (AGLS),0,0,0,1,0,0,0,0,0,0,1,s16
Agriculture and Life Sciences,Pre-Dietetics (AGLS),0,5,0,11,1,2,0,0,0,0,19,s16
Agriculture and Life Sciences,Public Service and Administration in Agriculture,0,0,0,0,2,2,1,7,0,0,12,s16
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,7,6,13,s16
Business,Accounting,0,1,37,15,60,50,137,127,0,0,427,s16
Business,Business Economics,0,0,3,2,5,5,8,2,0,0,25,s16
Business,Business Undeclared,0,0,4,3,5,4,2,0,0,0,18,s16
Business,Finance,4,1,58,17,140,41,176,69,0,0,506,s16
Business,Management,0,0,7,8,27,25,73,68,0,0,208,s16
Business,Management Information Systems,3,0,12,4,65,13,148,30,0,0,275,s16
Business,Marketing,1,2,23,27,73,94,153,146,0,0,519,s16
Business,Pre-Business,422,191,467,206,264,102,58,24,0,0,1734,s16
Business,Supply Chain Management,2,1,41,11,77,24,126,59,0,0,341,s16
Design,Design Certificate (Non-Degree),0,0,0,0,0,0,0,0,0,1,1,s16
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,3,3,6,s16
Design,Architecture-Professional Degree,0,0,23,20,44,27,104,81,0,0,299,s16
Design,Art and Design (Bachelor of Arts),0,0,2,5,2,4,3,3,0,0,19,s16
Design,Community and Regional Planning,5,4,8,4,13,10,23,11,0,0,78,s16
Design,Design,1,5,4,6,15,20,20,13,0,0,84,s16
Design,Design Undeclared,14,26,6,18,6,4,0,2,0,0,76,s16
Design,Graphic Design,0,0,10,23,13,59,32,78,0,0,215,s16
Design,Industrial Design,0,0,25,14,36,5,60,24,0,0,164,s16
Design,Integrated Studio Arts,1,0,3,9,7,21,15,29,0,0,85,s16
Design,Interior Design,0,0,6,27,14,43,6,79,0,0,175,s16
Design,Landscape Architecture,0,0,8,9,14,15,45,39,0,0,130,s16
Design,Pre-Architecture,51,50,36,19,10,9,0,0,0,0,175,s16
Design,Pre-Community and Regional Planning,0,1,0,0,0,1,0,0,0,0,2,s16
Design,Pre-Graphic Design,10,35,7,30,7,4,1,0,0,0,94,s16
Design,Pre-Industrial Design,24,7,20,3,4,0,0,0,0,0,58,s16
Design,Pre-Integrated Studio Arts,1,4,0,4,1,3,0,0,0,0,13,s16
Design,Pre-Interior Design,5,13,3,17,1,5,0,0,0,0,44,s16
Design,Pre-Landscape Architecture,5,4,5,0,0,0,0,0,0,0,14,s16
Engineering,Engineering Specials (Non-Degree),0,0,0,0,0,0,0,0,25,3,28,s16
Engineering,Aerospace Engineering,118,11,141,16,129,21,250,32,0,0,718,s16
Engineering,Agricultural Engineering,31,7,38,7,40,6,51,12,0,0,192,s16
Engineering,Biological Systems Engineering,11,11,9,9,7,8,18,24,0,0,97,s16
Engineering,Chemical Engineering,76,23,101,49,122,52,212,89,0,0,724,s16
Engineering,Civil Engineering,93,19,109,33,134,30,217,54,0,0,689,s16
Engineering,Computer Engineering,111,10,139,9,135,10,200,19,0,0,633,s16
Engineering,Construction Engineering,39,8,57,6,73,10,98,17,0,0,308,s16
Engineering,Electrical Engineering,87,13,109,10,116,13,200,24,0,0,572,s16
Engineering,Engineering,73,17,33,11,5,0,2,0,0,0,141,s16
Engineering,Industrial Engineering,52,26,97,29,85,39,134,68,0,0,530,s16
Engineering,Materials Engineering,24,10,57,12,48,16,95,19,0,0,281,s16
Engineering,Mechanical Engineering,291,27,357,40,416,48,661,74,0,0,1914,s16
Engineering,Software Engineering,34,3,56,7,57,10,71,8,0,0,246,s16
Human Sciences,Human Sciences Special (Non-Degree),0,0,0,0,0,0,0,0,5,24,29,s16
Human Sciences,"Apparel, Merchandising, and Design",7,72,7,89,10,124,2,144,0,0,455,s16
Human Sciences,Athletic Training,0,0,8,4,6,4,20,17,0,0,59,s16
Human Sciences,Child & Family Services,1,21,3,77,9,120,13,160,0,0,404,s16
Human Sciences,Culinary Science - Human Sciences,0,4,2,5,3,5,4,8,0,0,31,s16
Human Sciences,Diet and Exercise (H SCI),0,0,0,0,0,1,1,5,0,0,7,s16
Human Sciences,Dietetics (H SCI),0,0,0,0,2,15,11,103,0,0,131,s16
Human Sciences,Early Childhood Education,0,20,1,25,1,34,0,43,0,0,124,s16
Human Sciences,Elementary Education,7,67,14,145,23,178,37,263,0,0,734,s16
Human Sciences,Event Management,5,49,1,64,7,112,8,116,0,0,362,s16
Human Sciences,Family and Consumer Science Education and Studies,0,5,0,14,2,22,2,39,0,0,84,s16
Human Sciences,Financial Counseling and Planning,0,3,3,4,4,3,3,16,0,0,36,s16
Human Sciences,Food Science (H SCI),3,1,4,8,3,11,6,16,0,0,52,s16
Human Sciences,Hospitality Management,9,10,9,18,16,30,23,38,0,0,153,s16
Human Sciences,Human Sciences,1,10,0,7,2,0,0,0,0,0,20,s16
Human Sciences,Kinesiology and Health,59,77,102,138,129,184,229,267,0,0,1185,s16
Human Sciences,Nutritional Science (H SCI),2,6,1,16,2,27,11,39,0,0,104,s16
Human Sciences,Pre-Athletic Training,7,14,4,11,3,4,0,1,0,0,44,s16
Human Sciences,Pre-Diet and Exercise (H SCI),0,2,2,10,1,2,1,2,0,0,20,s16
Human Sciences,Pre-Dietetics (H SCI),2,19,3,26,5,35,1,9,0,0,100,s16
Human Sciences,Pre-Early Childcare Education and Programming,0,0,0,0,0,3,0,5,0,0,8,s16
Human Sciences,Early Childcare Education and Programming,0,0,0,0,0,2,0,3,0,0,5,s16
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,0,0,0,0,0,0,0,0,33,22,55,s16
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,105,85,190,s16
Liberal Arts and Sciences,Advertising,6,6,13,25,37,38,43,48,0,0,216,s16
Liberal Arts and Sciences,Anthropology,2,8,5,3,7,7,8,16,0,0,56,s16
Liberal Arts and Sciences,Biochemistry,10,11,16,12,21,11,28,27,0,0,136,s16
Liberal Arts and Sciences,Bioinformatics and Computational Biology,0,1,3,2,2,3,3,2,0,0,16,s16
Liberal Arts and Sciences,Biological/Pre-Medical Illustration,0,0,0,1,1,3,3,11,0,0,19,s16
Liberal Arts and Sciences,Biology,23,31,33,59,39,59,60,75,0,0,379,s16
Liberal Arts and Sciences,Biophysics,0,0,0,1,1,1,3,2,0,0,8,s16
Liberal Arts and Sciences,Chemistry,9,10,19,10,17,14,34,28,0,0,141,s16
Liberal Arts and Sciences,Communication Studies,2,8,12,29,18,41,36,64,0,0,210,s16
Liberal Arts and Sciences,Computer Science,6,1,54,1,70,5,118,16,0,0,271,s16
Liberal Arts and Sciences,Earth Science,0,2,2,1,2,1,5,1,0,0,14,s16
Liberal Arts and Sciences,Economics,6,1,21,3,19,3,27,19,0,0,99,s16
Liberal Arts and Sciences,English,8,21,19,27,18,46,36,71,0,0,246,s16
Liberal Arts and Sciences,Environmental Science (LAS),11,3,7,7,8,9,13,9,0,0,67,s16
Liberal Arts and Sciences,Genetics (LAS),3,9,6,10,13,16,19,28,0,0,104,s16
Liberal Arts and Sciences,Geology,5,2,10,7,11,9,12,5,0,0,61,s16
Liberal Arts and Sciences,History,16,10,35,15,45,22,72,29,0,0,244,s16
Liberal Arts and Sciences,Interdisciplinary Studies,35,25,52,33,76,50,68,37,0,0,376,s16
Liberal Arts and Sciences,Journalism and Mass Communication,16,31,20,43,49,45,36,65,0,0,305,s16
Liberal Arts and Sciences,Liberal Arts and Sciences- Open Option,0,0,0,0,0,1,0,1,0,0,2,s16
Liberal Arts and Sciences,Liberal Studies,0,0,0,1,18,14,55,44,0,0,132,s16
Liberal Arts and Sciences,Linguistics,4,4,6,10,2,13,7,23,0,0,69,s16
Liberal Arts and Sciences,Mathematics,16,6,19,16,32,20,42,31,0,0,182,s16
Liberal Arts and Sciences,Meteorology,10,4,7,8,16,9,21,6,0,0,81,s16
Liberal Arts and Sciences,Music,3,1,14,13,6,10,24,26,0,0,97,s16
Liberal Arts and Sciences,Open Option (LAS),169,151,101,72,14,12,1,4,0,0,524,s16
Liberal Arts and Sciences,Performing Arts,1,3,0,5,4,9,10,9,0,0,41,s16
Liberal Arts and Sciences,Philosophy,1,0,2,0,6,4,10,3,0,0,26,s16
Liberal Arts and Sciences,Physics,13,0,16,3,10,5,35,3,0,0,85,s16
Liberal Arts and Sciences,Political Science,16,12,22,25,44,25,50,25,0,0,219,s16
Liberal Arts and Sciences,Pre-Biological/Pre-Medical Illustration,3,11,4,12,1,7,3,5,0,0,46,s16
Liberal Arts and Sciences,Pre-Computer Science,81,7,77,5,44,8,11,1,0,0,234,s16
Liberal Arts and Sciences,Pre-Liberal Studies,1,1,7,6,18,9,10,4,0,0,56,s16
Liberal Arts and Sciences,Preparation For Human Medicine,8,12,5,10,3,2,2,0,0,0,42,s16
Liberal Arts and Sciences,Preparation For Law,1,4,2,2,0,0,0,0,0,0,9,s16
Liberal Arts and Sciences,Preprofessional Health Programs,4,11,0,8,0,1,1,1,0,0,26,s16
Liberal Arts and Sciences,Psychology,19,71,28,104,58,149,70,189,0,0,688,s16
Liberal Arts and Sciences,Public Relations,1,17,9,56,22,60,11,66,0,0,242,s16
Liberal Arts and Sciences,Religious Studies,1,0,1,0,2,1,2,3,0,0,10,s16
Liberal Arts and Sciences,Sociology,1,7,3,8,7,10,18,17,0,0,71,s16
Liberal Arts and Sciences,Software Engineering,43,4,43,8,40,1,59,5,0,0,203,s16
Liberal Arts and Sciences,Speech Communication,1,3,2,2,5,4,1,6,0,0,24,s16
Liberal Arts and Sciences,Statistics,12,4,4,9,10,8,15,21,0,0,83,s16
Liberal Arts and Sciences,Technical Communication,2,0,1,0,7,4,7,7,0,0,28,s16
Liberal Arts and Sciences,Women's Studies,0,1,0,0,0,4,2,5,0,0,12,s16
Liberal Arts and Sciences,World Languages and Cultures,1,3,3,5,8,11,13,25,0,0,69,s16
Agriculture and Life Sciences,Agriculture Certificate (Non-Degree),0,0,0,0,0,0,0,0,3,0,3,f16
Agriculture and Life Sciences,Agricultural and Life Sciences Education,2,35,10,30,8,27,16,50,0,0,178,f16
Agriculture and Life Sciences,Agricultural Biochemistry,5,2,3,2,3,1,5,2,0,0,23,f16
Agriculture and Life Sciences,Agricultural Business,66,30,98,44,104,42,94,45,0,0,523,f16
Agriculture and Life Sciences,Agricultural Studies,37,16,57,10,102,30,112,30,0,0,394,f16
Agriculture and Life Sciences,Agricultural Systems Technology,33,1,34,4,62,2,74,5,0,0,215,f16
Agriculture and Life Sciences,Agriculture and Life Sciences Exploration,11,10,8,1,1,1,0,0,0,0,32,f16
Agriculture and Life Sciences,Agriculture and Society,1,5,1,3,2,5,2,7,0,0,26,f16
Agriculture and Life Sciences,Agronomy,36,17,39,18,67,36,77,46,0,0,336,f16
Agriculture and Life Sciences,Animal Ecology,21,34,34,51,41,71,46,74,0,0,372,f16
Agriculture and Life Sciences,Animal Science,46,192,55,173,51,204,62,228,0,0,1011,f16
Agriculture and Life Sciences,Biology (AGLS),21,45,18,47,20,66,33,63,0,0,313,f16
Agriculture and Life Sciences,Culinary Science - Agriculture,0,0,1,2,1,0,0,3,0,0,7,f16
Agriculture and Life Sciences,Dairy Science,8,4,1,3,3,2,4,18,0,0,43,f16
Agriculture and Life Sciences,Dietetics (AGLS),0,0,0,1,0,5,1,6,0,0,13,f16
Agriculture and Life Sciences,Environmental Science (AGLS),13,8,10,13,13,11,24,23,0,0,115,f16
Agriculture and Life Sciences,Food Science (AGLS),7,8,6,15,13,8,8,18,0,0,83,f16
Agriculture and Life Sciences,Forestry,8,2,13,2,19,4,32,7,0,0,87,f16
Agriculture and Life Sciences,General Preveterinary Medicine,10,37,6,11,0,10,0,1,0,0,75,f16
Agriculture and Life Sciences,Genetics (AGLS),7,14,5,12,7,9,3,24,0,0,81,f16
Agriculture and Life Sciences,Global Resource Systems,4,12,3,16,3,10,10,21,0,0,79,f16
Agriculture and Life Sciences,Horticulture,11,7,17,13,26,10,21,17,0,0,122,f16
Agriculture and Life Sciences,Industrial Technology,17,1,58,5,83,2,88,7,0,0,261,f16
Agriculture and Life Sciences,Microbiology,9,11,11,12,13,25,15,24,0,0,120,f16
Agriculture and Life Sciences,Nutritional Science (AGLS),0,2,0,0,2,1,0,4,0,0,9,f16
Agriculture and Life Sciences,Pre-Dietetics (AGLS),0,7,0,10,0,0,0,0,0,0,17,f16
Agriculture and Life Sciences,Public Service and Administration in Agriculture,0,0,0,0,0,0,2,7,0,0,9,f16
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,13,7,20,f16
Business,Accounting,0,2,20,22,75,43,130,130,0,0,422,f16
Business,Business Economics,1,0,1,1,11,5,8,2,0,0,29,f16
Business,Business Undeclared,0,0,5,3,3,4,2,3,0,0,20,f16
Business,Finance,2,1,47,21,133,42,174,64,0,0,484,f16
Business,Management,0,0,12,9,40,23,58,54,0,0,196,f16
Business,Management Information Systems,0,0,17,4,73,10,157,30,0,0,291,f16
Business,Marketing,3,0,33,38,81,74,136,144,0,0,509,f16
Business,Pre-Business,582,263,494,224,311,139,63,23,0,0,2099,f16
Business,Supply Chain Management,1,2,27,13,105,27,118,47,0,0,340,f16
Design,Design Certificate (Non-Degree),0,0,0,0,0,0,0,0,0,1,1,f16
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,2,2,4,f16
Design,Architecture-Professional Degree,2,1,41,27,41,34,103,69,0,0,318,f16
Design,Art and Design (Bachelor of Arts),0,1,0,4,3,9,1,4,0,0,22,f16
Design,Community and Regional Planning,4,0,9,5,9,9,24,15,0,0,75,f16
Design,Design,0,3,3,10,15,10,26,16,0,0,83,f16
Design,Design Undeclared,18,45,4,7,4,4,1,0,0,0,83,f16
Design,Graphic Design,3,1,15,50,17,59,20,60,0,0,225,f16
Design,Industrial Design,5,1,27,17,49,18,60,19,0,0,196,f16
Design,Integrated Studio Arts,0,0,4,17,6,20,15,31,0,0,93,f16
Design,Interior Design,0,8,8,38,16,38,10,62,0,0,180,f16
Design,Landscape Architecture,0,1,12,11,15,15,33,35,0,0,122,f16
Design,Pre-Architecture,88,52,24,17,4,4,0,0,0,0,189,f16
Design,Pre-Community and Regional Planning,2,4,0,2,2,1,0,0,0,0,11,f16
Design,Pre-Graphic Design,18,39,6,6,2,7,1,1,0,0,80,f16
Design,Pre-Industrial Design,22,10,7,5,2,0,0,0,0,0,46,f16
Design,Pre-Integrated Studio Arts,2,9,2,2,0,4,1,0,0,0,20,f16
Design,Pre-Interior Design,3,44,2,8,0,3,0,1,0,0,61,f16
Design,Pre-Landscape Architecture,4,4,2,3,0,0,0,1,0,0,14,f16
Engineering,Engineering Specials (Non-Degree),0,0,0,0,0,0,0,0,28,7,35,f16
Engineering,Aerospace Engineering,245,29,160,20,145,15,234,35,0,0,883,f16
Engineering,Agricultural Engineering,46,7,66,9,35,12,44,8,0,0,227,f16
Engineering,Biological Systems Engineering,7,10,15,16,12,9,17,19,0,0,105,f16
Engineering,Chemical Engineering,144,53,127,41,102,56,200,84,0,0,807,f16
Engineering,Civil Engineering,115,27,136,37,145,28,207,58,0,0,753,f16
Engineering,Computer Engineering,255,19,151,11,116,13,222,19,0,0,806,f16
Engineering,Construction Engineering,44,7,67,10,69,10,92,16,0,0,315,f16
Engineering,Electrical Engineering,129,11,114,18,119,12,203,22,0,0,628,f16
Engineering,Engineering,293,73,58,13,8,2,0,0,0,0,447,f16
Engineering,Industrial Engineering,55,22,93,39,95,40,133,66,0,0,543,f16
Engineering,Materials Engineering,28,6,51,17,53,13,83,26,0,0,277,f16
Engineering,Mechanical Engineering,444,45,453,50,429,42,646,76,0,0,2185,f16
Engineering,Software Engineering,45,11,64,9,75,7,64,10,0,0,285,f16
